Iteration,Total LOC,File Count,Writes,Edits,Deletes
1,1921,10,10,0,0
2,1936,10,2,3,0
3,1939,10,1,5,0
4,1939,10,0,0,0
5,1939,10,0,0,0
6,1938,10,1,1,0
7,1938,10,1,1,0
8,2171,10,4,4,0
9,2186,10,1,2,0
10,2190,10,1,4,0
11,2206,10,2,2,0
12,2370,10,5,5,0
13,2370,10,0,0,0
14,2370,10,0,0,0
15,2428,10,1,0,0
16,2438,10,1,5,0
17,2435,10,2,6,0
18,2435,10,0,0,0
19,2509,10,1,1,0
20,2582,10,1,4,0
21,2582,10,0,0,0
22,2615,10,1,3,0
23,2609,10,6,1,1
24,2623,10,1,3,0
25,2623,10,0,0,0
26,2623,10,0,0,0
27,2633,10,1,2,0
28,2633,10,0,0,0
29,2550,10,1,5,0
30,2550,10,0,0,0
